Date - Heure,Gaz,Electricite
2012-01-01-00:00:00,55353,59610
2012-01-01-01:00:00,55444,56230
2012-01-01-02:00:00,55465,55531
2012-01-01-03:00:00,56048,52496
2012-01-01-04:00:00,57082,49160
2012-01-01-05:00:00,59915,46656
2012-01-01-06:00:00,68146,45826
2012-01-01-07:00:00,67701,45579
2012-01-01-08:00:00,66294,45769
2012-01-01-09:00:00,65780,45730
2012-01-01-10:00:00,64195,47420
2012-01-01-11:00:00,61269,49114
2012-01-01-12:00:00,61351,50975
2012-01-01-13:00:00,58651,53650
2012-01-01-14:00:00,61719,51025
2012-01-01-15:00:00,60730,49147
2012-01-01-16:00:00,58596,48335
2012-01-01-17:00:00,59588,49256
2012-01-01-18:00:00,61152,54425
2012-01-01-19:00:00,61992,57332
2012-01-01-20:00:00,61492,57751
2012-01-01-21:00:00,59233,56054
2012-01-01-22:00:00,56177,53889
2012-01-01-23:00:00,53442,56576
2012-01-02-00:00:00,54443,55164
2012-01-02-01:00:00,54758,51404
2012-01-02-02:00:00,55420,50398
2012-01-02-03:00:00,56454,48201
2012-01-02-04:00:00,59655,46306
2012-01-02-05:00:00,67079,46692
2012-01-02-06:00:00,79283,49459
2012-01-02-07:00:00,79675,53970
2012-01-02-08:00:00,80426,58592
2012-01-02-09:00:00,81016,61000
2012-01-02-10:00:00,80927,63126
2012-01-02-11:00:00,80852,64766
2012-01-02-12:00:00,77949,66514
2012-01-02-13:00:00,78564,67681
2012-01-02-14:00:00,79546,66104
2012-01-02-15:00:00,77966,64499
2012-01-02-16:00:00,80168,63348
2012-01-02-17:00:00,84163,64318
2012-01-02-18:00:00,86813,70547
2012-01-02-19:00:00,85580,73262
2012-01-02-20:00:00,83032,71079
2012-01-02-21:00:00,80522,67434
2012-01-02-22:00:00,75972,63756
2012-01-02-23:00:00,71682,65929
2012-01-03-00:00:00,71048,64600
2012-01-03-01:00:00,71226,60533
2012-01-03-02:00:00,72287,60103
2012-01-03-03:00:00,73628,57915
2012-01-03-04:00:00,77251,55743
2012-01-03-05:00:00,85563,55974
2012-01-03-06:00:00,99327,59861
2012-01-03-07:00:00,101479,67315
2012-01-03-08:00:00,100092,72996
2012-01-03-09:00:00,97655,73224
2012-01-03-10:00:00,95138,73197
2012-01-03-11:00:00,91196,72723
2012-01-03-12:00:00,87123,73533
2012-01-03-13:00:00,83959,72919
2012-01-03-14:00:00,82269,71403
2012-01-03-15:00:00,81696,69848
2012-01-03-16:00:00,83196,68904
2012-01-03-17:00:00,85381,69379
2012-01-03-18:00:00,84211,74505
2012-01-03-19:00:00,82889,76698
2012-01-03-20:00:00,80859,73534
2012-01-03-21:00:00,77531,69189
2012-01-03-22:00:00,72344,64860
2012-01-03-23:00:00,68405,66938
2012-01-04-00:00:00,67064,65080
2012-01-04-01:00:00,67382,60564
2012-01-04-02:00:00,67899,59709
2012-01-04-03:00:00,69341,57569
2012-01-04-04:00:00,73087,55655
2012-01-04-05:00:00,81187,55991
2012-01-04-06:00:00,96850,59642
2012-01-04-07:00:00,98633,66854
2012-01-04-08:00:00,97192,71958
2012-01-04-09:00:00,95033,73197
2012-01-04-10:00:00,92281,73373
2012-01-04-11:00:00,89133,72954
2012-01-04-12:00:00,85512,73198
2012-01-04-13:00:00,82464,72380
2012-01-04-14:00:00,81510,70932
2012-01-04-15:00:00,82145,69402
2012-01-04-16:00:00,84997,68710
2012-01-04-17:00:00,87946,69469
2012-01-04-18:00:00,89423,75481
2012-01-04-19:00:00,89125,78337
2012-01-04-20:00:00,86556,75281
2012-01-04-21:00:00,83256,70926
2012-01-04-22:00:00,77440,66808
2012-01-04-23:00:00,72142,68550
2012-01-05-00:00:00,70726,67041
2012-01-05-01:00:00,70671,62447
2012-01-05-02:00:00,71185,61888
2012-01-05-03:00:00,72013,59573
2012-01-05-04:00:00,75123,57258
2012-01-05-05:00:00,83129,57286
2012-01-05-06:00:00,92853,60584
2012-01-05-07:00:00,97321,68130
2012-01-05-08:00:00,96452,73668
2012-01-05-09:00:00,94582,73765
2012-01-05-10:00:00,92236,74185
2012-01-05-11:00:00,92490,74216
2012-01-05-12:00:00,89646,75253
2012-01-05-13:00:00,86741,74753
2012-01-05-14:00:00,85476,73365
2012-01-05-15:00:00,86206,71710
2012-01-05-16:00:00,88046,70471
2012-01-05-17:00:00,89899,71095
2012-01-05-18:00:00,90339,75752
2012-01-05-19:00:00,89236,78351
2012-01-05-20:00:00,86565,74868
2012-01-05-21:00:00,83626,70196
2012-01-05-22:00:00,79411,66268
2012-01-05-23:00:00,74458,68168
2012-01-06-00:00:00,73336,66514
2012-01-06-01:00:00,73002,62254
2012-01-06-02:00:00,73782,61718
2012-01-06-03:00:00,75373,59581
2012-01-06-04:00:00,78516,57825
2012-01-06-05:00:00,87894,57795
2012-01-06-06:00:00,102348,61779
2012-01-06-07:00:00,104689,69176
2012-01-06-08:00:00,103238,75602
2012-01-06-09:00:00,100732,75426
2012-01-06-10:00:00,97563,75158
2012-01-06-11:00:00,94610,74260
2012-01-06-12:00:00,91042,74132
2012-01-06-13:00:00,87634,73410
2012-01-06-14:00:00,85250,71267
2012-01-06-15:00:00,85424,69303
2012-01-06-16:00:00,88252,67930
2012-01-06-17:00:00,91848,68210
2012-01-06-18:00:00,91899,75128
2012-01-06-19:00:00,90973,77587
